artist_name,album_name,track_name,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,album_genres,album_type,album_popularity,release_date,release_date_precision
Desmond Cheese,Sunrise and Set,Storm's Coming (feat. Roman MC),347520.0,False,36.0,0.336,0.568,4.0,-11.380999999999998,0.0,0.215,0.945,0.0444,0.0905,0.305,75.021,4.0,australian reggae fusion; chillhop; electronica,49.0,,album,39.0,2019-12-06,day
Destroyer,Destroyer's Rubies,Painter in Your Pocket,250013.0,False,43.0,0.5660000000000001,0.511,6.0,-8.826,0.0,0.0614,0.674,3.02e-06,0.221,0.258,123.311,4.0,alternative dance; alternative rock; art pop; canadian indie; chamber pop; chillwave; dream pop; freak folk; garage psych; indie folk; indie pop; indie rock; modern rock; noise pop; vancouver indie,51.0,,album,43.0,2006-01-24,day
Devon Rea,Family,While We Wait,126000.0,False,55.0,0.622,0.34700000000000003,9.0,-15.89,0.0,0.0651,0.967,0.939,0.103,0.0803,159.933,4.0,focus beats,51.0,,single,53.0,2020-08-04,day
Dexter King,Get to Know You,Get to Know You,198048.0,False,31.0,0.752,0.9,0.0,-3.584,1.0,0.0773,0.00389,0.0674,0.19,0.544,122.987,4.0,gaming edm,38.0,,single,28.0,2019-11-05,day
Diamond Eyes,Stars,Stars,228413.0,False,50.0,0.292,0.813,7.0,-4.072,0.0,0.0377,0.00417,0.000436,0.0933,0.343,144.85,4.0,gaming edm,58.0,,single,47.0,2019-05-01,day
Didrick,Rewind,Rewind,174066.0,False,26.0,0.539,0.628,9.0,-6.159,1.0,0.036000000000000004,0.0552,0.0,0.131,0.159,131.9,4.0,gaming edm,38.0,,single,24.0,2018-03-06,day
Didrick,Smoke,Smoke,218117.0,False,27.0,0.484,0.7909999999999999,4.0,-5.105,0.0,0.0783,0.0643,0.0,0.115,0.422,171.94400000000005,4.0,gaming edm,38.0,,single,24.0,2016-04-08,day
Digitalism,Idealism,Pogo,226466.0,False,53.0,0.403,0.743,0.0,-5.254,1.0,0.0447,6.459999999999997e-05,7.52e-05,0.526,0.392,136.013,4.0,alternative dance; big beat; dance-punk; electro house; electronica; indietronica; new rave,56.0,,album,53.0,2007-05-09,day
Digitalism,Moshi Moshi,Pogo - Shinichi Osawa Extended Remix,367306.0,False,37.0,0.5770000000000001,0.758,0.0,-5.8660000000000005,1.0,0.0437,7.670000000000001e-05,0.0209,0.056,0.5820000000000001,136.061,4.0,alternative dance; big beat; dance-punk; electro house; electronica; indietronica; new rave,56.0,,single,35.0,2008-12-15,day
Dillon Francis,Say Less,Say Less,204699.0,True,56.0,0.6809999999999999,0.925,8.0,-5.436,1.0,0.209,0.101,1.7e-05,0.343,0.6459999999999999,135.953,4.0,brostep; dance pop; edm; electro house; electronic trap; electropop; moombahton; pop; pop dance; slap house; tropical house,69.0,,single,53.0,2017-04-05,day
Dion Timmer,Insane,Insane,241400.0,False,37.0,0.397,0.934,4.0,-1.779,0.0,0.133,0.016,0.000211,0.193,0.159,149.746,4.0,brostep; deathstep; dubstep; edm; electro house; electronic trap; gaming dubstep; gaming edm,57.0,,single,34.0,2020-01-17,day
Dirty Art Club,Basement Seance,Midnight Blue,189437.0,False,31.0,0.451,0.6609999999999999,7.0,-9.694,1.0,0.14400000000000002,0.0405,0.0135,0.187,0.561,97.017,4.0,charlotte nc indie; chillhop; wonky,51.0,,album,48.0,2017-08-04,day
Dirty Art Club,Basement Seance,Soul Eater,192535.0,False,33.0,0.307,0.8079999999999999,3.0,-6.6610000000000005,1.0,0.0786,0.0305,0.0,0.408,0.332,81.309,4.0,charlotte nc indie; chillhop; wonky,51.0,,album,48.0,2017-08-04,day
Dirty Projectors,Cool Your Heart,Cool Your Heart - Ludwig Goransson Remix,236959.0,False,41.0,0.674,0.532,1.0,-5.769,0.0,0.154,0.29100000000000004,0.00189,0.09,0.545,148.843,4.0,art pop; brooklyn indie; chillwave; experimental pop; freak folk; indie folk; indie pop; indie rock; stomp and holler,53.0,,single,38.0,2017-08-15,day
Dirty Projectors,Dirty Projectors,Up In Hudson,450544.0,True,34.0,0.677,0.733,10.0,-6.99,1.0,0.0755,0.382,0.0275,0.142,0.691,124.02,4.0,art pop; brooklyn indie; chillwave; experimental pop; freak folk; indie folk; indie pop; indie rock; stomp and holler,53.0,,album,42.0,2017-02-21,day
Disasterpeace,Hyper Light Drifter,Vignette: Panacea,103799.0,False,49.0,0.419,0.0596,8.0,-20.394,0.0,0.0415,0.977,0.883,0.113,0.168,83.16,3.0,indie game soundtrack; video game music,51.0,,album,55.0,2016-04-13,day
Disclosure,Settle,Latch,255866.0,False,67.0,0.7290000000000001,0.735,1.0,-5.455,1.0,0.0919,0.0178,0.000193,0.08900000000000001,0.544,121.986,4.0,house; pop; uk dance,80.0,,album,68.0,2013-06-03,day
Discovery,LP,Osaka Loop Line,241733.0,False,37.0,0.7070000000000001,0.4920000000000001,9.0,-6.6610000000000005,1.0,0.332,0.104,0.000107,0.159,0.632,155.908,4.0,chillwave; indie pop,39.0,,album,46.0,2009-07-07,day
Disero,About Us,About Us,182400.0,False,25.0,0.4970000000000001,0.72,5.0,-8.965,1.0,0.0737,0.0169,4.15e-05,0.166,0.207,199.571,4.0,canadian electronic; gaming edm,41.0,,single,22.0,2019-03-26,day
Diveo,Summer Trees,Summer Trees,210000.0,False,32.0,0.728,0.852,8.0,-4.039,1.0,0.0405,0.0198,0.0773,0.084,0.327,111.982,4.0,kawaii future bass,41.0,,single,29.0,2015-12-25,day
